,Unnamed: 0,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0.1,Unnamed: 0.1.1,Verifier,instance,score,solved,solved_bool
5800,39124,,MNIST,0.012,9.0,mnist_net_256x6.onnx,unsat,0.3660824298858642,140.0,9.0,bab,9.0 mnist_net_256x6.onnx 0.012,1,1,True
5801,39123,,,0.012,9.0,mnist_net_256x6.onnx,unsat,0.406,209.0,,eran,9.0 mnist_net_256x6.onnx 0.012,1,1,True
5817,39167,,,0.012,9.0,rsl18a_linf01.onnx,unsat,0.41,109.0,,eran,9.0 rsl18a_linf01.onnx 0.012,1,1,True
5818,39166,,MNIST,0.012,9.0,rsl18a_linf01.onnx,unsat,0.1148755550384521,150.0,9.0,bab,9.0 rsl18a_linf01.onnx 0.012,1,1,True
5831,39145,,,0.012,9.0,mnist_nn.onnx,unsat,7.298,809.0,,eran,9.0 mnist_nn.onnx 0.012,1,1,True
5832,39144,,MNIST,0.012,9.0,mnist_nn.onnx,unsat,11.38716435432434,141.0,9.0,bab,9.0 mnist_nn.onnx 0.012,1,1,True
5836,39103,,MNIST,0.012,9.0,mnist_net_256x4.onnx,unsat,0.2364530563354492,138.0,9.0,bab,9.0 mnist_net_256x4.onnx 0.012,1,1,True
5837,39102,,,0.012,9.0,mnist_net_256x4.onnx,unsat,0.185,509.0,,eran,9.0 mnist_net_256x4.onnx 0.012,1,1,True
5842,39061,,MNIST,0.012,9.0,mnist_net.onnx,unsat,0.164621353149414,136.0,9.0,bab,9.0 mnist_net.onnx 0.012,1,1,True
5843,39060,,,0.012,9.0,mnist_net.onnx,unsat,0.075,9.0,,eran,9.0 mnist_net.onnx 0.012,1,1,True
5856,39001,,MNIST,0.012,9.0,mnist_9_200.onnx,unsat,0.2712564468383789,149.0,9.0,bab,9.0 mnist_9_200.onnx 0.012,1,1,True
5872,39083,,MNIST,0.012,9.0,mnist_net_256x2.onnx,unsat,0.1440005302429199,137.0,9.0,bab,9.0 mnist_net_256x2.onnx 0.012,1,1,True
5873,39081,,,0.012,9.0,mnist_net_256x2.onnx,unsat,0.041,709.0,,eran,9.0 mnist_net_256x2.onnx 0.012,1,1,True
5895,38503,,,0.012,89.0,mnist_6_100.onnx,unsat/sat,1.4561800956726074,89.0,89.0,abcrown,89.0 mnist_6_100.onnx 0.012,1,1,True
5896,38502,,MNIST,0.012,89.0,mnist_6_100.onnx,unsat,0.1446659564971923,1413.0,89.0,bab,89.0 mnist_6_100.onnx 0.012,1,1,True
5916,38546,,MNIST,0.012,89.0,mnist_9_100.onnx,unsat,0.189955472946167,1414.0,89.0,bab,89.0 mnist_9_100.onnx 0.012,1,1,True
5917,38545,,,0.012,89.0,mnist_9_100.onnx,unsat/sat,1.815223693847656,289.0,289.0,abcrown,89.0 mnist_9_100.onnx 0.012,1,1,True
5930,38420,,MNIST,0.012,89.0,mnist_3_100.onnx,unsat,0.0930025577545166,1409.0,89.0,bab,89.0 mnist_3_100.onnx 0.012,1,1,True
5936,38357,,,0.012,89.0,fc2.onnx,unsat,0.006,389.0,,eran,89.0 fc2.onnx 0.012,1,1,True
5938,38356,,MNIST,0.012,89.0,fc2.onnx,sat,0.0632214546203613,1406.0,89.0,bab,89.0 fc2.onnx 0.012,1,1,True
5953,38483,,MNIST,0.012,89.0,mnist_5_100.onnx,unsat,0.1354286670684814,1412.0,89.0,bab,89.0 mnist_5_100.onnx 0.012,1,1,True
5960,38462,,MNIST,0.012,89.0,mnist_4_1024.onnx,unsat,0.5270242691040039,1411.0,89.0,bab,89.0 mnist_4_1024.onnx 0.012,1,1,True
5967,38439,,MNIST,0.012,89.0,mnist_3_50.onnx,unsat,0.0916545391082763,1410.0,89.0,bab,89.0 mnist_3_50.onnx 0.012,1,1,True
5981,38690,,,0.012,89.0,mnist_net_256x6.onnx,unsat,0.483,289.0,,eran,89.0 mnist_net_256x6.onnx 0.012,1,1,True
5982,38689,,MNIST,0.012,89.0,mnist_net_256x6.onnx,unsat,0.462564468383789,1407.0,89.0,bab,89.0 mnist_net_256x6.onnx 0.012,1,1,True
5998,38731,,MNIST,0.012,89.0,rsl18a_linf01.onnx,unsat,0.1152179241180419,1415.0,89.0,bab,89.0 rsl18a_linf01.onnx 0.012,1,1,True
5999,38730,,,0.012,89.0,rsl18a_linf01.onnx,unsat,0.178,189.0,,eran,89.0 rsl18a_linf01.onnx 0.012,1,1,True
6004,38710,,MNIST,0.012,89.0,mnist_nn.onnx,unsat,0.1243941783905029,1408.0,89.0,bab,89.0 mnist_nn.onnx 0.012,1,1,True
6012,38711,,,0.012,89.0,mnist_nn.onnx,unsat,0.339,889.0,,eran,89.0 mnist_nn.onnx 0.012,1,1,True
6023,38627,,MNIST,0.012,89.0,mnist_net.onnx,unsat,0.1760859489440918,1402.0,89.0,bab,89.0 mnist_net.onnx 0.012,1,1,True
6024,38625,,,0.012,89.0,mnist_net.onnx,unsat,0.093,89.0,,eran,89.0 mnist_net.onnx 0.012,1,1,True
6039,38669,,MNIST,0.012,89.0,mnist_net_256x4.onnx,unsat,0.1502501964569091,1405.0,89.0,bab,89.0 mnist_net_256x4.onnx 0.012,1,1,True
6040,38668,,,0.012,89.0,mnist_net_256x4.onnx,unsat,0.276,589.0,,eran,89.0 mnist_net_256x4.onnx 0.012,1,1,True
6053,38648,,,0.012,89.0,mnist_net_256x2.onnx,unsat,0.046,789.0,,eran,89.0 mnist_net_256x2.onnx 0.012,1,1,True
6054,38647,,MNIST,0.012,89.0,mnist_net_256x2.onnx,unsat,0.129580020904541,1404.0,89.0,bab,89.0 mnist_net_256x2.onnx 0.012,1,1,True
6068,39815,,,0.012,91.0,mnist_6_100.onnx,unsat/sat,1.4561121463775637,91.0,91.0,abcrown,91.0 mnist_6_100.onnx 0.012,1,1,True
6069,39814,,MNIST,0.012,91.0,mnist_6_100.onnx,unsat,0.1212203502655029,1445.0,91.0,bab,91.0 mnist_6_100.onnx 0.012,1,1,True
6085,39856,,MNIST,0.012,91.0,mnist_9_100.onnx,unsat,0.1579351425170898,1447.0,91.0,bab,91.0 mnist_9_100.onnx 0.012,1,1,True
6086,39855,,,0.012,91.0,mnist_9_100.onnx,unsat/sat,1.8155930042266848,291.0,291.0,abcrown,91.0 mnist_9_100.onnx 0.012,1,1,True
6099,39836,,MNIST,0.012,91.0,mnist_6_200.onnx,unsat,0.2182896137237548,1446.0,91.0,bab,91.0 mnist_6_200.onnx 0.012,1,1,True
6100,39834,,,0.012,91.0,mnist_6_200.onnx,unsat/sat,1.3429341316223145,191.0,191.0,abcrown,91.0 mnist_6_200.onnx 0.012,1,1,True
6104,39792,,MNIST,0.012,91.0,mnist_5_100.onnx,unsat,0.1200542449951172,1444.0,91.0,bab,91.0 mnist_5_100.onnx 0.012,1,1,True
6110,39668,,,0.012,91.0,fc2.onnx,unsat,0.01,391.0,,eran,91.0 fc2.onnx 0.012,1,1,True
6111,39666,,MNIST,0.012,91.0,fc2.onnx,sat,0.0608298778533935,1438.0,91.0,bab,91.0 fc2.onnx 0.012,1,1,True
6125,39729,,MNIST,0.012,91.0,mnist_3_100.onnx,unsat,0.0995664596557617,1441.0,91.0,bab,91.0 mnist_3_100.onnx 0.012,1,1,True
6133,39771,,MNIST,0.012,91.0,mnist_4_1024.onnx,unsat,1.6911132335662842,1443.0,91.0,bab,91.0 mnist_4_1024.onnx 0.012,1,1,True
6140,39752,,MNIST,0.012,91.0,mnist_3_50.onnx,unsat,0.0840315818786621,1442.0,91.0,bab,91.0 mnist_3_50.onnx 0.012,1,1,True
6148,39603,,,0.012,90.0,rsl18a_linf01.onnx,unsat,0.198,190.0,,eran,90.0 rsl18a_linf01.onnx 0.012,1,1,True
6162,39980,,,0.012,91.0,mnist_net_256x4.onnx,unsat,0.242,591.0,,eran,91.0 mnist_net_256x4.onnx 0.012,1,1,True
6163,39979,,MNIST,0.012,91.0,mnist_net_256x4.onnx,unsat,0.1585280895233154,1437.0,91.0,bab,91.0 mnist_net_256x4.onnx 0.012,1,1,True
6169,40000,,MNIST,0.012,91.0,mnist_net_256x6.onnx,unsat,0.2022480964660644,1439.0,91.0,bab,91.0 mnist_net_256x6.onnx 0.012,1,1,True
6170,40001,,,0.012,91.0,mnist_net_256x6.onnx,unsat,0.43,291.0,,eran,91.0 mnist_net_256x6.onnx 0.012,1,1,True
6179,40022,,MNIST,0.012,91.0,mnist_nn.onnx,unsat,0.1282312870025634,1440.0,91.0,bab,91.0 mnist_nn.onnx 0.012,1,1,True
6180,40021,,,0.012,91.0,mnist_nn.onnx,unsat,0.387,891.0,,eran,91.0 mnist_nn.onnx 0.012,1,1,True
6203,39877,,,0.012,91.0,mnist_9_200.onnx,unsat/sat,1.848025798797608,391.0,391.0,abcrown,91.0 mnist_9_200.onnx 0.012,1,1,True
6205,39876,,MNIST,0.012,91.0,mnist_9_200.onnx,unsat,0.3483448028564453,1448.0,91.0,bab,91.0 mnist_9_200.onnx 0.012,1,1,True
6220,39959,,MNIST,0.012,91.0,mnist_net_256x2.onnx,unsat,0.1418249607086181,1436.0,91.0,bab,91.0 mnist_net_256x2.onnx 0.012,1,1,True
6221,39958,,,0.012,91.0,mnist_net_256x2.onnx,unsat,0.044,791.0,,eran,91.0 mnist_net_256x2.onnx 0.012,1,1,True
6226,39936,,,0.012,91.0,mnist_net.onnx,unsat,0.07,91.0,,eran,91.0 mnist_net.onnx 0.012,1,1,True
6234,39937,,MNIST,0.012,91.0,mnist_net.onnx,unsat,0.1713199615478515,1434.0,91.0,bab,91.0 mnist_net.onnx 0.012,1,1,True
6235,39604,,MNIST,0.012,90.0,rsl18a_linf01.onnx,unsat,0.1208972930908203,1432.0,90.0,bab,90.0 rsl18a_linf01.onnx 0.012,1,1,True
6250,39377,,,0.012,90.0,mnist_6_100.onnx,unsat/sat,1.4542903900146484,90.0,90.0,abcrown,90.0 mnist_6_100.onnx 0.012,1,1,True
6251,39376,,MNIST,0.012,90.0,mnist_6_100.onnx,unsat,0.1288626194000244,1428.0,90.0,bab,90.0 mnist_6_100.onnx 0.012,1,1,True
6259,39396,,MNIST,0.012,90.0,mnist_6_200.onnx,unsat,0.185068130493164,1429.0,90.0,bab,90.0 mnist_6_200.onnx 0.012,1,1,True
6260,39397,,,0.012,90.0,mnist_6_200.onnx,unsat/sat,1.3654701709747314,190.0,190.0,abcrown,90.0 mnist_6_200.onnx 0.012,1,1,True
6267,39418,,MNIST,0.012,90.0,mnist_9_100.onnx,unsat,0.1808719635009765,1430.0,90.0,bab,90.0 mnist_9_100.onnx 0.012,1,1,True
6268,39417,,,0.012,90.0,mnist_9_100.onnx,unsat/sat,1.8131811618804927,290.0,290.0,abcrown,90.0 mnist_9_100.onnx 0.012,1,1,True
6283,39230,,,0.012,90.0,fc2.onnx,unsat,0.006,390.0,,eran,90.0 fc2.onnx 0.012,1,1,True
6285,39293,,MNIST,0.012,90.0,mnist_3_100.onnx,unsat,0.1179676055908203,1424.0,90.0,bab,90.0 mnist_3_100.onnx 0.012,1,1,True
6292,39229,,MNIST,0.012,90.0,fc2.onnx,sat,0.0540802478790283,1421.0,90.0,bab,90.0 fc2.onnx 0.012,1,1,True
6308,39355,,MNIST,0.012,90.0,mnist_5_100.onnx,unsat,0.128554105758667,1427.0,90.0,bab,90.0 mnist_5_100.onnx 0.012,1,1,True
6314,39334,,MNIST,0.012,90.0,mnist_4_1024.onnx,unsat,0.5298640727996826,1426.0,90.0,bab,90.0 mnist_4_1024.onnx 0.012,1,1,True
6322,39312,,MNIST,0.012,90.0,mnist_3_50.onnx,unsat,0.0873451232910156,1425.0,90.0,bab,90.0 mnist_3_50.onnx 0.012,1,1,True
