,Unnamed: 0,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0.1,Verifier,instance,solved_bool,solved,score
104,5224,,mnist,0.012,N21,MNIST_P3_N21,unsat,50.147,824.0,verinet,MNIST_P3_N21 N21 0.012,True,1,1
105,5216,,mnist,0.012,N12,MNIST_P2_N12,unsat,56.1787,816.0,verinet,MNIST_P2_N12 N12 0.012,True,1,1
106,5203,,mnist,0.012,N19,MNIST_P56_N19,unsat,50.4207,803.0,verinet,MNIST_P56_N19 N19 0.012,True,1,1
107,5779,,mnist,0.012,N12,MNIST_P87_N12,unsat,59.7172,1379.0,verinet,MNIST_P87_N12 N12 0.012,True,1,1
108,5780,,mnist,0.012,N33,MNIST_P58_N33,unsat,60.1639,1380.0,verinet,MNIST_P58_N33 N33 0.012,True,1,1
109,5783,,mnist,0.012,N4,MNIST_P55_N4,unsat,52.9111,1383.0,verinet,MNIST_P55_N4 N4 0.012,True,1,1
110,6521,,mnist,0.012,N12,MNIST_P4_N12,unsat,59.1126,2121.0,verinet,MNIST_P4_N12 N12 0.012,True,1,1
111,6507,,mnist,0.012,N21,MNIST_P60_N21,unsat,51.3098,2107.0,verinet,MNIST_P60_N21 N21 0.012,True,1,1
112,6494,,mnist,0.012,N21,MNIST_P82_N21,unsat,52.2523,2094.0,verinet,MNIST_P82_N21 N21 0.012,True,1,1
113,6490,,mnist,0.012,N19,MNIST_P13_N19,unsat,51.3846,2090.0,verinet,MNIST_P13_N19 N19 0.012,True,1,1
114,6483,,mnist,0.012,N21,MNIST_P14_N21,unsat,53.5661,2083.0,verinet,MNIST_P14_N21 N21 0.012,True,1,1
115,6466,,mnist,0.012,N22,MNIST_P44_N22,unsat,61.123,2066.0,verinet,MNIST_P44_N22 N22 0.012,True,1,1
116,6465,,mnist,0.012,N22,MNIST_P80_N22,sat,13.6013,2065.0,verinet,MNIST_P80_N22 N22 0.012,True,1,1
117,6464,,mnist,0.012,N12,MNIST_P70_N12,unsat,60.4069,2064.0,verinet,MNIST_P70_N12 N12 0.012,True,1,1
118,6463,,mnist,0.012,N19,MNIST_P92_N19,unsat,51.1363,2063.0,verinet,MNIST_P92_N19 N19 0.012,True,1,1
119,6456,,mnist,0.012,N22,MNIST_P41_N22,unsat,60.3579,2056.0,verinet,MNIST_P41_N22 N22 0.012,True,1,1
120,6448,,mnist,0.012,N12,MNIST_P34_N12,unsat,58.7641,2048.0,verinet,MNIST_P34_N12 N12 0.012,True,1,1
121,6443,,mnist,0.012,N4,MNIST_P2_N4,unsat,51.5329,2043.0,verinet,MNIST_P2_N4 N4 0.012,True,1,1
122,6439,,mnist,0.012,N4,MNIST_P95_N4,unsat,52.4569,2039.0,verinet,MNIST_P95_N4 N4 0.012,True,1,1
123,6431,,mnist,0.012,N21,MNIST_P54_N21,unsat,52.3674,2031.0,verinet,MNIST_P54_N21 N21 0.012,True,1,1
124,6406,,mnist,0.012,N19,MNIST_P4_N19,unsat,51.1212,2006.0,verinet,MNIST_P4_N19 N19 0.012,True,1,1
125,6404,,mnist,0.012,N19,MNIST_P81_N19,unsat,50.6982,2004.0,verinet,MNIST_P81_N19 N19 0.012,True,1,1
