,Unnamed: 0,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0.1,Verifier,instance,solved_bool,solved,score
3977,6800,,mnist,0.012,N49,MNIST_P25_N49,unsat,62.0801,2400.0,verinet,MNIST_P25_N49 N49 0.012,True,1,1
3978,6820,,mnist,0.012,N18,MNIST_P3_N18,unsat,50.0907,2420.0,verinet,MNIST_P3_N18 N18 0.012,True,1,1
3979,6825,,mnist,0.012,N48,MNIST_P28_N48,unsat,61.0059,2425.0,verinet,MNIST_P28_N48 N48 0.012,True,1,1
3980,6832,,mnist,0.012,N18,MNIST_P18_N18,unsat,50.3354,2432.0,verinet,MNIST_P18_N18 N18 0.012,True,1,1
3981,6834,,mnist,0.012,N48,MNIST_P97_N48,unsat,59.6429,2434.0,verinet,MNIST_P97_N48 N48 0.012,True,1,1
3982,6838,,mnist,0.012,N5,MNIST_P42_N5,unsat,52.2678,2438.0,verinet,MNIST_P42_N5 N5 0.012,True,1,1
3983,6852,,mnist,0.012,N49,MNIST_P10_N49,unsat,56.9988,2452.0,verinet,MNIST_P10_N49 N49 0.012,True,1,1
3984,6948,,mnist,0.012,N49,MNIST_P57_N49,unsat,60.3934,2548.0,verinet,MNIST_P57_N49 N49 0.012,True,1,1
3985,6860,,mnist,0.012,N15,MNIST_P29_N15,sat,38.7355,2460.0,verinet,MNIST_P29_N15 N15 0.012,True,1,1
3986,6866,,mnist,0.012,N14,MNIST_P65_N14,unsat,58.682,2466.0,verinet,MNIST_P65_N14 N14 0.012,True,1,1
3987,6871,,mnist,0.012,N5,MNIST_P63_N5,unsat,48.6796,2471.0,verinet,MNIST_P63_N5 N5 0.012,True,1,1
3988,6901,,mnist,0.012,N15,MNIST_P22_N15,sat,16.9674,2501.0,verinet,MNIST_P22_N15 N15 0.012,True,1,1
3989,6924,,mnist,0.012,N5,MNIST_P93_N5,unsat,50.556,2524.0,verinet,MNIST_P93_N5 N5 0.012,True,1,1
3990,6936,,mnist,0.012,N15,MNIST_P53_N15,unsat,51.8076,2536.0,verinet,MNIST_P53_N15 N15 0.012,True,1,1
3991,7102,,mnist,0.012,N49,MNIST_P68_N49,unsat,60.3366,2702.0,verinet,MNIST_P68_N49 N49 0.012,True,1,1
3992,7137,,mnist,0.012,N18,MNIST_P81_N18,unsat,50.3451,2737.0,verinet,MNIST_P81_N18 N18 0.012,True,1,1
3993,7375,,mnist,0.012,N18,MNIST_P26_N18,unsat,53.0918,2975.0,verinet,MNIST_P26_N18 N18 0.012,True,1,1
3994,7138,,mnist,0.012,N49,MNIST_P79_N49,unsat,61.6495,2738.0,verinet,MNIST_P79_N49 N49 0.012,True,1,1
3995,7299,,mnist,0.012,N15,MNIST_P34_N15,unsat,49.484,2899.0,verinet,MNIST_P34_N15 N15 0.012,True,1,1
3996,7302,,mnist,0.012,N15,MNIST_P64_N15,unsat,50.5018,2902.0,verinet,MNIST_P64_N15 N15 0.012,True,1,1
3997,7309,,mnist,0.012,N48,MNIST_P75_N48,unsat,59.5444,2909.0,verinet,MNIST_P75_N48 N48 0.012,True,1,1
3998,7314,,mnist,0.012,N5,MNIST_P85_N5,unsat,50.0598,2914.0,verinet,MNIST_P85_N5 N5 0.012,True,1,1
3999,7318,,mnist,0.012,N48,MNIST_P21_N48,unsat,58.5662,2918.0,verinet,MNIST_P21_N48 N48 0.012,True,1,1
4000,7320,,mnist,0.012,N14,MNIST_P86_N14,unsat,59.8184,2920.0,verinet,MNIST_P86_N14 N14 0.012,True,1,1
4001,7321,,mnist,0.012,N5,MNIST_P17_N5,unsat,50.3827,2921.0,verinet,MNIST_P17_N5 N5 0.012,True,1,1
4002,7322,,mnist,0.012,N14,MNIST_P40_N14,unsat,58.6665,2922.0,verinet,MNIST_P40_N14 N14 0.012,True,1,1
4003,7324,,mnist,0.012,N5,MNIST_P95_N5,unsat,52.5045,2924.0,verinet,MNIST_P95_N5 N5 0.012,True,1,1
4004,7325,,mnist,0.012,N48,MNIST_P0_N48,unsat,59.8495,2925.0,verinet,MNIST_P0_N48 N48 0.012,True,1,1
4005,7351,,mnist,0.012,N49,MNIST_P11_N49,unsat,58.595,2951.0,verinet,MNIST_P11_N49 N49 0.012,True,1,1
4006,7353,,mnist,0.012,N5,MNIST_P32_N5,unsat,49.7181,2953.0,verinet,MNIST_P32_N5 N5 0.012,True,1,1
4007,7355,,mnist,0.012,N14,MNIST_P22_N14,unsat,58.8258,2955.0,verinet,MNIST_P22_N14 N14 0.012,True,1,1
4008,7358,,mnist,0.012,N15,MNIST_P58_N15,unsat,48.8597,2958.0,verinet,MNIST_P58_N15 N15 0.012,True,1,1
4009,7370,,mnist,0.012,N49,MNIST_P23_N49,unsat,59.2363,2970.0,verinet,MNIST_P23_N49 N49 0.012,True,1,1
4010,7293,,mnist,0.012,N48,MNIST_P60_N48,unsat,59.2434,2893.0,verinet,MNIST_P60_N48 N48 0.012,True,1,1
4011,7280,,mnist,0.012,N48,MNIST_P48_N48,unsat,58.1198,2880.0,verinet,MNIST_P48_N48 N48 0.012,True,1,1
4012,7276,,mnist,0.012,N49,MNIST_P19_N49,unsat,58.923,2876.0,verinet,MNIST_P19_N49 N49 0.012,True,1,1
4013,7190,,mnist,0.012,N15,MNIST_P17_N15,unsat,51.3643,2790.0,verinet,MNIST_P17_N15 N15 0.012,True,1,1
4014,7142,,mnist,0.012,N18,MNIST_P73_N18,unsat,52.0614,2742.0,verinet,MNIST_P73_N18 N18 0.012,True,1,1
4015,7148,,mnist,0.012,N49,MNIST_P78_N49,unsat,59.9115,2748.0,verinet,MNIST_P78_N49 N49 0.012,True,1,1
4016,7159,,mnist,0.012,N18,MNIST_P89_N18,unsat,52.2327,2759.0,verinet,MNIST_P89_N18 N18 0.012,True,1,1
4017,7162,,mnist,0.012,N15,MNIST_P89_N15,unsat,51.6743,2762.0,verinet,MNIST_P89_N15 N15 0.012,True,1,1
4018,7167,,mnist,0.012,N18,MNIST_P4_N18,unsat,52.7778,2767.0,verinet,MNIST_P4_N18 N18 0.012,True,1,1
4019,7176,,mnist,0.012,N18,MNIST_P7_N18,unsat,50.4696,2776.0,verinet,MNIST_P7_N18 N18 0.012,True,1,1
4020,7197,,mnist,0.012,N18,MNIST_P88_N18,unsat,49.6502,2797.0,verinet,MNIST_P88_N18 N18 0.012,True,1,1
4021,7272,,mnist,0.012,N15,MNIST_P16_N15,unsat,51.9046,2872.0,verinet,MNIST_P16_N15 N15 0.012,True,1,1
4022,7212,,mnist,0.012,N14,MNIST_P29_N14,unsat,59.6286,2812.0,verinet,MNIST_P29_N14 N14 0.012,True,1,1
4023,7222,,mnist,0.012,N18,MNIST_P62_N18,unsat,52.1988,2822.0,verinet,MNIST_P62_N18 N18 0.012,True,1,1
4024,7228,,mnist,0.012,N5,MNIST_P47_N5,unsat,50.4822,2828.0,verinet,MNIST_P47_N5 N5 0.012,True,1,1
4025,7235,,mnist,0.012,N49,MNIST_P97_N49,unsat,59.196,2835.0,verinet,MNIST_P97_N49 N49 0.012,True,1,1
4026,7244,,mnist,0.012,N5,MNIST_P96_N5,unsat,52.6775,2844.0,verinet,MNIST_P96_N5 N5 0.012,True,1,1
4027,7245,,mnist,0.012,N18,MNIST_P97_N18,unsat,52.0814,2845.0,verinet,MNIST_P97_N18 N18 0.012,True,1,1
4028,8014,,mnist,0.012,N14,MNIST_P28_N14,unsat,60.143,3614.0,verinet,MNIST_P28_N14 N14 0.012,True,1,1
4029,8023,,mnist,0.012,N14,MNIST_P81_N14,unsat,58.7442,3623.0,verinet,MNIST_P81_N14 N14 0.012,True,1,1
4031,8684,,mnist,0.012,N15,MNIST_P83_N15,unsat,50.972,4284.0,verinet,MNIST_P83_N15 N15 0.012,True,1,1
4032,8700,,mnist,0.012,N18,MNIST_P66_N18,unsat,50.4423,4300.0,verinet,MNIST_P66_N18 N18 0.012,True,1,1
4033,8717,,mnist,0.012,N48,MNIST_P61_N48,unsat,60.2021,4317.0,verinet,MNIST_P61_N48 N48 0.012,True,1,1
4034,8728,,mnist,0.012,N18,MNIST_P76_N18,unsat,50.868,4328.0,verinet,MNIST_P76_N18 N18 0.012,True,1,1
4035,8743,,mnist,0.012,N48,MNIST_P5_N48,unsat,59.0127,4343.0,verinet,MNIST_P5_N48 N48 0.012,True,1,1
4036,8747,,mnist,0.012,N18,MNIST_P56_N18,unsat,51.4006,4347.0,verinet,MNIST_P56_N18 N18 0.012,True,1,1
4037,8750,,mnist,0.012,N49,MNIST_P91_N49,unsat,59.3061,4350.0,verinet,MNIST_P91_N49 N49 0.012,True,1,1
4038,8751,,mnist,0.012,N18,MNIST_P34_N18,unsat,51.0138,4351.0,verinet,MNIST_P34_N18 N18 0.012,True,1,1
4039,8755,,mnist,0.012,N48,MNIST_P11_N48,unsat,59.3247,4355.0,verinet,MNIST_P11_N48 N48 0.012,True,1,1
4040,8773,,mnist,0.012,N49,MNIST_P15_N49,unsat,57.1037,4373.0,verinet,MNIST_P15_N49 N49 0.012,True,1,1
4041,8789,,mnist,0.012,N15,MNIST_P85_N15,unsat,49.3077,4389.0,verinet,MNIST_P85_N15 N15 0.012,True,1,1
4047,8693,,mnist,0.012,N18,MNIST_P23_N18,unsat,50.8121,4293.0,verinet,MNIST_P23_N18 N18 0.012,True,1,1
4048,8681,,mnist,0.012,N49,MNIST_P46_N49,unsat,60.4266,4281.0,verinet,MNIST_P46_N49 N49 0.012,True,1,1
4049,8026,,mnist,0.012,N49,MNIST_P90_N49,unsat,60.2494,3626.0,verinet,MNIST_P90_N49 N49 0.012,True,1,1
4050,8674,,mnist,0.012,N14,MNIST_P88_N14,unsat,59.7239,4274.0,verinet,MNIST_P88_N14 N14 0.012,True,1,1
4051,8594,,mnist,0.012,N18,MNIST_P92_N18,sat,24.1452,4194.0,verinet,MNIST_P92_N18 N18 0.012,True,1,1
4052,8595,,mnist,0.012,N5,MNIST_P35_N5,unsat,51.0447,4195.0,verinet,MNIST_P35_N5 N5 0.012,True,1,1
4053,8602,,mnist,0.012,N5,MNIST_P38_N5,unsat,51.4471,4202.0,verinet,MNIST_P38_N5 N5 0.012,True,1,1
