,Unnamed: 0,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0.1,Unnamed: 0.1.1,Verifier,instance,score,solved,solved_bool
100,11595,,,0.012,81.0,convMedGRELU__PGDK_w_0.0078.onnx,unsat,3.625,2381.0,,eran,81.0 convMedGRELU__PGDK_w_0.0078.onnx 0.012,1,1,True
101,6442,,CIFAR,0.012,49.0,convSmallRELU__PGDK.onnx,sat,2.505803346633911,1318.0,49.0,bab,49.0 convSmallRELU__PGDK.onnx 0.012,1,1,True
102,6443,,,0.012,49.0,convSmallRELU__PGDK.onnx,sat,58.3,1549.0,,eran,49.0 convSmallRELU__PGDK.onnx 0.012,1,1,True
103,6448,,CIFAR,0.012,49.0,convSmallRELU__Point.onnx,sat,2.6106295585632324,1321.0,49.0,bab,49.0 convSmallRELU__Point.onnx 0.012,1,1,True
104,6449,,,0.012,49.0,convSmallRELU__Point.onnx,unsat,1.16,3149.0,,eran,49.0 convSmallRELU__Point.onnx 0.012,1,1,True
105,6450,,CIFAR,0.012,49.0,ffnnRELU__PGDK_w_0.0078_6_500.onnx,sat,3.334364891052246,1324.0,49.0,bab,49.0 ffnnRELU__PGDK_w_0.0078_6_500.onnx 0.012,1,1,True
106,11592,,CIFAR,0.012,81.0,convBigRELU__PGD.onnx,unsat,3570.907935380936,2267.0,81.0,bab,81.0 convBigRELU__PGD.onnx 0.012,1,1,True
107,6452,,,0.012,49.0,ffnnRELU__PGDK_w_0.0078_6_500.onnx,unsat,5.321,3249.0,,eran,49.0 ffnnRELU__PGDK_w_0.0078_6_500.onnx 0.012,1,1,True
108,6453,,,0.012,49.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,unsat,6.066,2049.0,,eran,49.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.012,1,1,True
109,6454,,CIFAR,0.012,49.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,sat,3.5761289596557617,1330.0,49.0,bab,49.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.012,1,1,True
110,11588,,,0.012,81.0,cifar_wide_kw_simp.onnx,unsat,1.649,81.0,,eran,81.0 cifar_wide_kw_simp.onnx 0.012,1,1,True
111,6456,,CIFAR,0.012,49.0,ffnnRELU__Point_6_500.onnx,sat,3.1519558429718018,1351.0,49.0,bab,49.0 ffnnRELU__Point_6_500.onnx 0.012,1,1,True
112,6458,,,0.012,49.0,ffnnRELU__Point_6_500.onnx,unsat,5.184,1849.0,,eran,49.0 ffnnRELU__Point_6_500.onnx 0.012,1,1,True
113,11586,,CIFAR,0.012,81.0,cifar_wide_kw_simp.onnx,sat,2.286763429641724,2203.0,81.0,bab,81.0 cifar_wide_kw_simp.onnx 0.012,1,1,True
114,11582,,,0.012,81.0,cifar_wide_kw.onnx,unsat,1.643,1781.0,,eran,81.0 cifar_wide_kw.onnx 0.012,1,1,True
115,6485,,CIFAR,0.012,5.0,cifar10_2_255.onnx,sat,46.33394837379456,132.0,5.0,bab,5.0 cifar10_2_255.onnx 0.012,1,1,True
116,6241,,CIFAR,0.012,48.0,cifar_deep_kw.onnx,sat,4.195343971252441,1282.0,48.0,bab,48.0 cifar_deep_kw.onnx 0.012,1,1,True
117,6236,,CIFAR,0.012,48.0,cifar_base_kw_simp.onnx,sat,1.1619873046875,1340.0,48.0,bab,48.0 cifar_base_kw_simp.onnx 0.012,1,1,True
118,5875,,,0.012,45.0,ffnnRELU__PGDK_w_0.0078_6_500.onnx,unsat,9.744,3245.0,,eran,45.0 ffnnRELU__PGDK_w_0.0078_6_500.onnx 0.012,1,1,True
119,6010,,CIFAR,0.012,46.0,convSmallRELU__PGDK.onnx,sat,2.53239107131958,1241.0,46.0,bab,46.0 convSmallRELU__PGDK.onnx 0.012,1,1,True
120,5977,,,0.012,46.0,convBigRELU__PGD.onnx,unsat,38.097,846.0,,eran,46.0 convBigRELU__PGD.onnx 0.012,1,1,True
121,5978,,CIFAR,0.012,46.0,convBigRELU__PGD.onnx,sat,99.87447905540466,1267.0,46.0,bab,46.0 convBigRELU__PGD.onnx 0.012,1,1,True
122,5981,,CIFAR,0.012,46.0,convMedGRELU__PGDK_w_0.0078.onnx,sat,4.136977672576903,1269.0,46.0,bab,46.0 convMedGRELU__PGDK_w_0.0078.onnx 0.012,1,1,True
123,11770,,CIFAR,0.012,82.0,convSmallRELU__PGDK.onnx,unsat,3.478327751159668,2229.0,82.0,bab,82.0 convSmallRELU__PGDK.onnx 0.012,1,1,True
124,5983,,CIFAR,0.012,46.0,convMedGRELU__PGDK_w_0.0313.onnx,sat,4.806376457214356,1271.0,46.0,bab,46.0 convMedGRELU__PGDK_w_0.0313.onnx 0.012,1,1,True
125,11769,,,0.012,82.0,convSmallRELU__PGDK.onnx,unsat,1.606,1582.0,,eran,82.0 convSmallRELU__PGDK.onnx 0.012,1,1,True
126,5985,,CIFAR,0.012,46.0,convMedGRELU__Point.onnx,sat,4.199713945388794,1276.0,46.0,bab,46.0 convMedGRELU__Point.onnx 0.012,1,1,True
127,5986,,,0.012,46.0,convMedGRELU__Point.onnx,unsat,4.891,646.0,,eran,46.0 convMedGRELU__Point.onnx 0.012,1,1,True
128,11768,,CIFAR,0.012,82.0,convSmallRELU__DiffAI.onnx,unsat,1.4388785362243652,2227.0,82.0,bab,82.0 convSmallRELU__DiffAI.onnx 0.012,1,1,True
129,6006,,CIFAR,0.012,46.0,convSmallRELU__DiffAI.onnx,unsat,2.7414321899414062,1239.0,46.0,bab,46.0 convSmallRELU__DiffAI.onnx 0.012,1,1,True
130,6008,,,0.012,46.0,convSmallRELU__DiffAI.onnx,unsat,0.952,3046.0,,eran,46.0 convSmallRELU__DiffAI.onnx 0.012,1,1,True
131,6009,,,0.012,46.0,convSmallRELU__PGDK.onnx,sat,148.961,1546.0,,eran,46.0 convSmallRELU__PGDK.onnx 0.012,1,1,True
132,11766,,,0.012,82.0,convSmallRELU__DiffAI.onnx,unsat,0.979,3082.0,,eran,82.0 convSmallRELU__DiffAI.onnx 0.012,1,1,True
133,6060,,,0.012,47.0,cifar10_8_255_simplified.onnx,unsat,10.337,247.0,,eran,47.0 cifar10_8_255_simplified.onnx 0.012,1,1,True
134,6017,,CIFAR,0.012,46.0,convSmallRELU__Point.onnx,sat,2.457724094390869,1244.0,46.0,bab,46.0 convSmallRELU__Point.onnx 0.012,1,1,True
135,6018,,CIFAR,0.012,46.0,ffnnRELU__PGDK_w_0.0078_6_500.onnx,sat,3.3405473232269287,1247.0,46.0,bab,46.0 ffnnRELU__PGDK_w_0.0078_6_500.onnx 0.012,1,1,True
136,6020,,,0.012,46.0,ffnnRELU__PGDK_w_0.0078_6_500.onnx,unsat,8.148,3246.0,,eran,46.0 ffnnRELU__PGDK_w_0.0078_6_500.onnx 0.012,1,1,True
137,6022,,CIFAR,0.012,46.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,sat,2.911717653274536,1250.0,46.0,bab,46.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.012,1,1,True
138,6023,,,0.012,46.0,ffnnRELU__PGDK_w_0.0313_6_500.onnx,unsat,8.103,2046.0,,eran,46.0 ffnnRELU__PGDK_w_0.0313_6_500.onnx 0.012,1,1,True
139,6024,,,0.012,46.0,ffnnRELU__Point_6_500.onnx,unsat,7.854,1846.0,,eran,46.0 ffnnRELU__Point_6_500.onnx 0.012,1,1,True
140,6025,,CIFAR,0.012,46.0,ffnnRELU__Point_6_500.onnx,sat,3.0713818073272705,1255.0,46.0,bab,46.0 ffnnRELU__Point_6_500.onnx 0.012,1,1,True
141,6052,,CIFAR,0.012,47.0,cifar10_2_255.onnx,sat,47.06552743911743,1272.0,47.0,bab,47.0 cifar10_2_255.onnx 0.012,1,1,True
142,6053,,,0.012,47.0,cifar10_2_255.onnx,unsat,48.565,2847.0,,eran,47.0 cifar10_2_255.onnx 0.012,1,1,True
143,6054,,,0.012,47.0,cifar10_2_255_simplified.onnx,unsat,48.225,1447.0,,eran,47.0 cifar10_2_255_simplified.onnx 0.012,1,1,True
144,6055,,CIFAR,0.012,47.0,cifar10_2_255_simplified.onnx,sat,46.516533374786384,1279.0,47.0,bab,47.0 cifar10_2_255_simplified.onnx 0.012,1,1,True
145,6058,,,0.012,47.0,cifar10_8_255.onnx,unsat,10.487,2447.0,,eran,47.0 cifar10_8_255.onnx 0.012,1,1,True
146,11776,,CIFAR,0.012,82.0,convSmallRELU__Point.onnx,unsat,3589.3151268959045,2260.0,82.0,bab,82.0 convSmallRELU__Point.onnx 0.012,1,1,True
