,mnist standalone 0.012,mnist absolute marginal contribution 0.012,mnist relative marginal contribution 0.012,mnist shapley values 0.012,mnist number solved0.012,mnist Average runtime 0.012,mnist All runtime 0.012,cifar standalone 0.012,cifar absolute marginal contribution 0.012,cifar relative marginal contribution 0.012,cifar shapley values 0.012,cifar number solved0.012,cifar Average runtime 0.012,cifar All runtime 0.012
babsb,358,23,0.22330097087378642,34.85,358,3241.163274542603,2248.9016523809523,307,0,0.0,20.058333333333334,307,2923.700893415638,
marabou,1001,20,0.1941747572815534,88.575,1001,1800.633700052274,19.813495238095236,400,0,0.0,29.866666666666667,400,2153.4778815843624,
neurify,871,26,0.2524271844660194,70.825,871,1964.072483899634,6.228359523809523,915,119,0.7531645569620253,168.325,915,235.20269094650203,
nnenum,1754,18,0.17475728155339806,200.28333333333333,1754,389.33386440146364,69.46706428571429,76,8,0.05063291139240506,9.433333333333334,76,3337.0074502057614,
verinet,1799,16,0.1553398058252427,207.89166666666668,1799,263.86156968112914,48.97932380952381,841,31,0.1962025316455696,126.84166666666667,841,500.19234670781896,
