,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
51103,,MNIST,0.004,93.0,mnist_relu_5_100.onnx,time-out or unsolved,3600.0,1591.0,93.0,abcrown,93.0 mnist_relu_5_100.onnx 0.004,0,0,False
51084,,MNIST,0.04,93.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,1167.0,93.0,abcrown,93.0 mnist_relu_3_50.onnx 0.04,0,0,False
51068,,MNIST,0.008,93.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,1557.0,93.0,abcrown,93.0 mnist_relu_3_50.onnx 0.008,0,0,False
51070,,MNIST,0.01,93.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,1529.0,93.0,abcrown,93.0 mnist_relu_3_50.onnx 0.01,0,0,False
51071,,MNIST,0.01,93.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,1529.0,93.0,eran,93.0 mnist_relu_3_50.onnx 0.01,0,0,False
51072,,MNIST,0.012,93.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,1470.0,93.0,abcrown,93.0 mnist_relu_3_50.onnx 0.012,0,0,False
51073,,MNIST,0.012,93.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,1470.0,93.0,eran,93.0 mnist_relu_3_50.onnx 0.012,0,0,False
51075,,MNIST,0.02,93.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,1259.0,93.0,eran,93.0 mnist_relu_3_50.onnx 0.02,0,0,False
1933,,,0.01,11.0,mnist_nn.onnx,time-out or unsolved,3600.0,811.0,,abcrown,11.0 mnist_nn.onnx 0.01,0,0,False
51077,,MNIST,0.02,93.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,1259.0,93.0,abcrown,93.0 mnist_relu_3_50.onnx 0.02,0,0,False
51078,,MNIST,0.025,93.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,1212.0,93.0,eran,93.0 mnist_relu_3_50.onnx 0.025,0,0,False
51080,,MNIST,0.025,93.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,1212.0,93.0,abcrown,93.0 mnist_relu_3_50.onnx 0.025,0,0,False
51082,,MNIST,0.03,93.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,1173.0,93.0,abcrown,93.0 mnist_relu_3_50.onnx 0.03,0,0,False
51083,,MNIST,0.03,93.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,1173.0,93.0,eran,93.0 mnist_relu_3_50.onnx 0.03,0,0,False
51086,,MNIST,0.04,93.0,mnist_relu_3_50.onnx,time-out or unsolved,3600.0,1167.0,93.0,eran,93.0 mnist_relu_3_50.onnx 0.04,0,0,False
51101,,MNIST,0.012,93.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,1471.0,93.0,abcrown,93.0 mnist_relu_4_1024.onnx 0.012,0,0,False
1929,,,0.008,11.0,mnist_nn.onnx,time-out or unsolved,3600.0,811.0,,abcrown,11.0 mnist_nn.onnx 0.008,0,0,False
51088,,MNIST,0.004,93.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,1590.0,93.0,eran,93.0 mnist_relu_4_1024.onnx 0.004,0,0,False
51089,,MNIST,0.004,93.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,1590.0,93.0,abcrown,93.0 mnist_relu_4_1024.onnx 0.004,0,0,False
51090,,MNIST,0.005,93.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,1586.0,93.0,abcrown,93.0 mnist_relu_4_1024.onnx 0.005,0,0,False
1928,,,0.005,11.0,mnist_nn.onnx,time-out or unsolved,3600.0,811.0,,abcrown,11.0 mnist_nn.onnx 0.005,0,0,False
51092,,MNIST,0.005,93.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,1586.0,93.0,eran,93.0 mnist_relu_4_1024.onnx 0.005,0,0,False
51093,,MNIST,0.008,93.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,1558.0,93.0,eran,93.0 mnist_relu_4_1024.onnx 0.008,0,0,False
51094,,MNIST,0.008,93.0,mnist_relu_4_1024.onnx,time-out or unsolved,3600.0,1558.0,93.0,abcrown,93.0 mnist_relu_4_1024.onnx 0.008,0,0,False
